No,Procedure ID,Kelompok Operasi,Tindakan Operasi
1,UMUM.OK.000033,OPERASI KECIL UMUM,Excisi / Extirpatie Tumor/Lipoma/ Fibroma/ Clavus dengan LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Incisi Abses LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Buka Ring Hernia
1,UMUM.OK.000033,OPERASI KECIL UMUM,Aff DJ Stand LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Sircumcisi LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Vasectomi LA ( MOP )
1,UMUM.OK.000033,OPERASI KECIL UMUM,Kalazion LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Ruptur Palpebra LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Corpus Alienum ( Ektraksi ) LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Pteregium LA
1,UMUM.OK.000033,OPERASI KECIL UMUM,Sinusitis / Irigasi LA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Fr. Phalanx / Digit 1-2 ruas
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Fr. Metacarpal / Metatarsal 1-2 ruas
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Ruptur Tendon
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Amputasi digit
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Degloving sedang < 20 cm
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Reposisi dg GA ( Gips )
2,UMUM.OK.000034,OPERASI SEDANG UMUM,CTEV
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Polidaktili / sindaktili
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Aff wire/ screw/ pinning
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Aff Plate / Neil
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Biopsi GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Excisi / Extirpatie Tumor/Lipoma/ Fibroma/ Clavus dengan GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Incisi Abses GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Debridemant / Repair V.app Sedang < 20 cm
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Fr. Nasal
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Reposisi Zigoma
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Dislokasi Mandibula
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Tumor Coli
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Traceostomi
2,UMUM.OK.000034,OPERASI SEDANG UMUM,FAM /Mammae Aberant
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Appendictomy
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Hernia
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Hemorhoid / Fistel Perianal
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Skin Graft
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Vena Seksi
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Bullectomy
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Hidrocell / Varicocell
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Ca. Rectum ( Miles Op. )
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Curretage/ Kauterisasi ( ok )
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Aff DJ Stand GA / RA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Sircumcisi GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Torsio Testis
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Debrideman/Repair Kepala
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Katarak LA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Kalazion GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Ruptur Palpebra GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Corpus Alienum ( Ektraksi ) LA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Pteregium GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Tonsilectomi
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Sinusitis / Irigasi GA
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Polip Nasi
2,UMUM.OK.000034,OPERASI SEDANG UMUM,Abses Tonsil
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Phalanx / Digit > 3 ruas
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Metacarpal / Metatarsal > 3 ruas
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Colles
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Radius
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Radius (multiple)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Ulna
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Ulna (multiple)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Radius + Ulna
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Radius + Ulna ( multiple )
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Olecranon (elbow)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Humerus 1/3 tengah
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Humerus Multiple
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Supra Condiler Humeri
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Clavicula
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fr. Patella
3,UMUM.OK.000035,OPERASI BESAR UMUM,Tibia
3,UMUM.OK.000035,OPERASI BESAR UMUM,Tibia (multiple)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fibula
3,UMUM.OK.000035,OPERASI BESAR UMUM,Fibula (multiple)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Tibia + Fibula
3,UMUM.OK.000035,OPERASI BESAR UMUM,Tibia + Fibula ( Multiple )
3,UMUM.OK.000035,OPERASI BESAR UMUM,Maleolus
3,UMUM.OK.000035,OPERASI BESAR UMUM,Amputasi sirkuler ( besar )
3,UMUM.OK.000035,OPERASI BESAR UMUM,Degloving besar > 20 cm
3,UMUM.OK.000035,OPERASI BESAR UMUM,Debridemant / Repair V.app Besar > 20 cm
3,UMUM.OK.000035,OPERASI BESAR UMUM,Plating Maxila / Mandibula / Zigoma
3,UMUM.OK.000035,OPERASI BESAR UMUM,Struma
3,UMUM.OK.000035,OPERASI BESAR UMUM,Mastektomi ( Ca. Mamae )
3,UMUM.OK.000035,OPERASI BESAR UMUM,Laparotomy
3,UMUM.OK.000035,OPERASI BESAR UMUM,Hernia Duplex
3,UMUM.OK.000035,OPERASI BESAR UMUM,Hernia Incarcerata
3,UMUM.OK.000035,OPERASI BESAR UMUM,Colelitiasis / Batu Empedu (OPEN)
3,UMUM.OK.000035,OPERASI BESAR UMUM,SC
3,UMUM.OK.000035,OPERASI BESAR UMUM,SC + MOW
3,UMUM.OK.000035,OPERASI BESAR UMUM,Cyste Ovari
3,UMUM.OK.000035,OPERASI BESAR UMUM,Myoma Uteri
3,UMUM.OK.000035,OPERASI BESAR UMUM,Histerctomi / Vaginal Histtrec.
3,UMUM.OK.000035,OPERASI BESAR UMUM,KET/ Hematocell
3,UMUM.OK.000035,OPERASI BESAR UMUM,Prolab Uteri ( Reposisi )
3,UMUM.OK.000035,OPERASI BESAR UMUM,Batu Ureter (URS)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Batu Buli Open
3,UMUM.OK.000035,OPERASI BESAR UMUM,Batu Buli ( lithotripsi)
3,UMUM.OK.000035,OPERASI BESAR UMUM,Stiktur Urethra (suchse)
3,UMUM.OK.000035,OPERASI BESAR UMUM,BPH / TUR-P
3,UMUM.OK.000035,OPERASI BESAR UMUM,BPH Open
3,UMUM.OK.000035,OPERASI BESAR UMUM,Katarak GA
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Fr. Femur 1/3 tengah
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Fr. Femur Multiple
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Fr. Colum Femur ( AMP )
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Atroscopy
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Laparoscopy batu empedu
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Laparoscopy appendictomy
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Laparoscopy Varicocell
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Laparoscopy Cysta Ovari
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Laparoscopy MOW
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Batu Ginjal
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Nefrectomi
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Batu Ureter (open)
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Hipospadia / Urethroplasty
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Trepanasi
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Boor Hole Drainage
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,SSI
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Craniplasty
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,Pasang VP Shunt
4,UMUM.OK.000036,OPERASI KHUSUS UMUM,
